,Age,gender,number,ID1,ID2,satisfaction,partnerliking,mutuality,relationship length,commitment,honesty,love of learning,partnerIT,partnerOC,selfIT,extroversion,agreeableness,conscientiousness,stability,openness,ID3,ID4,satisfaction2,partnerliking2,mutuality2,length2,commitment2,honesty2,love of learning2,partnerIT2,selfIT2,extroversion2,agreeableness2,conscientiousness2,stability2,openness2,age2,gender2,extroversiondiff,agreeablenessdiff,conscientiousnessdiff,stabilitydiff,opennessdiff,satisfactiondiff
51,55-64,Female,105,6022caa67bff04090d2f2d06,602156c41435ab0dbc143844,5.5,7,7,6,7,6.4,6.333333333,7,7,6.166666667,5,5,5.5,4,7,602156c41435ab0dbc143844,6022caa67bff04090d2f2d06,5.25,6.8,6.6,6,7,6.3,5.666666667,7,6.166666667,4,4,4,2.5,5,55-64,Male,1,1,1.5,1.5,2,0.25
52,25-34,Male,120,60e2e1deafbbcd1c20bb3706,5c8d085a22f8f10014babf95,4,5.8,5.8,6,6.8,5.6,6.333333333,5,5,6.333333333,6.5,5,6,5.5,2.5,5c8d085a22f8f10014babf95,60e2e1deafbbcd1c20bb3706,4.5,6.6,5.8,6,6.6,6,6.333333333,6,6.166666667,4.5,4,5,2,4.5,25-34,Female,2,1,1,3.5,-2,-0.5
53,25-34,Female,122,63468ce6dec7ea5a413c1056,62d134abfe8d3efc63ad69cf,5.5,7,7,6,7,6,6.666666667,7,6,6.5,5,5,4,2,4,62d134abfe8d3efc63ad69cf,63468ce6dec7ea5a413c1056,3.75,5.8,6,6,6.8,5.3,6.666666667,6,6.333333333,3,5.5,2,3,5.5,18-24,Male,2,-0.5,2,-1,-1.5,1.75
54,35-44,Female,123,615c1805fafd762b0c80b058,615d709c083d5961537852c2,3,5.2,5.8,6,7,6,5.333333333,2,5,4.833333333,2.5,5.5,5,4,4,615d709c083d5961537852c2,615c1805fafd762b0c80b058,4.25,7,5.6,6,7,5.4,5.666666667,7,4.666666667,1,2.5,5,2,5,35-44,Male,1.5,3,0,2,-1,-1.25
55,35-44,Male,125,60b610d8c3c4f177c8337729,6352fb64b16cb5ae7fa86ae7,4.75,6.6,6.2,6,7,4.7,4.666666667,6,6,5,1,4,5,5.5,2,6352fb64b16cb5ae7fa86ae7,60b610d8c3c4f177c8337729,4.5,6.4,6.2,6,6.2,4.4,4.666666667,6,5.333333333,1.5,4,6.5,6,2,25-34,Female,-0.5,0,-1.5,-0.5,0,0.25
56,35-44,Male,126,610d5b907f2c451c9972a3eb,6127df68fee23c5dc14b6aeb,5.5,6.8,7,6,7,6.2,5.666666667,6,7,5.666666667,1.5,5,5.5,3,6.5,6127df68fee23c5dc14b6aeb,610d5b907f2c451c9972a3eb,5.25,6.4,6.8,6,7,5.7,5,4,5.833333333,3.5,3,4.5,3,4,35-44,Female,-2,2,1,0,2.5,0.25
57,35-44,Female,128,5ec6be322a1c090e1f681ed5,5ebaec011a7d64080694fe74,4.25,6,6,6,6,4.6,5,6,5,4.166666667,2,4,4,4.5,5,5ebaec011a7d64080694fe74,5ec6be322a1c090e1f681ed5,4.25,7,6.4,6,6.4,5,4.666666667,6,5.5,4,4.5,4.5,4,5.5,45-54,Male,-2,-0.5,-0.5,0.5,-0.5,0
58,55-64,Female,129,5d8b485caa868c001a4417d5,5f970ff3eff5040736b63117,5.5,6.8,6.6,6,7,5.4,7,5,5,5.666666667,5.5,6.5,6.5,6,4,5f970ff3eff5040736b63117,5d8b485caa868c001a4417d5,5.5,7,7,6,7,4.5,5.333333333,6,4.666666667,3.5,4.5,5.5,5,4,55-64,Male,2,2,1,1,0,0
59,25-34,Female,130,5ee8e74951a9512209f20ce5,5ddd631f063ebd000dbe0687,5.5,7,7,6,7,6,5.666666667,6,5,5.833333333,4,6.5,5.5,2.5,3.5,5ddd631f063ebd000dbe0687,5ee8e74951a9512209f20ce5,5.5,7,7,6,7,6.1,5.666666667,7,6,5,6.5,6,6.5,3,35-44,Male,-1,0,-0.5,-4,0.5,0
60,35-44,Male,132,60b5f044624955596fa12121,5be883c833f40a0001032d5f,3.5,5.8,5,6,5.4,4.7,4.666666667,5,6,5.166666667,4.5,4,4.5,3,6.5,5be883c833f40a0001032d5f,60b5f044624955596fa12121,4.5,7,6.4,6,6.8,5.7,6.333333333,7,5.333333333,1.5,3,6,3.5,4.5,25-34,Female,3,1,-1.5,-0.5,2,-1
61,35-44,Female,134,5c18c248acd3f30001459833,5caccbc4976d010014b9cd9d,3.5,4.6,6.4,6,6.6,6.6,6,7,6,5.166666667,5.5,5,4.5,5,4,5caccbc4976d010014b9cd9d,5c18c248acd3f30001459833,5,7,6.6,6,7,5.5,6,6,5,2.5,4.5,6,3.5,6,35-44,Male,3,0.5,-1.5,1.5,-2,-1.5
62,35-44,Male,135,5ddd631f063ebd000dbe0687,5ee8e74951a9512209f20ce5,5.5,7,7,6,7,6.1,5.666666667,7,5,6,5,6.5,6,6.5,3,5ee8e74951a9512209f20ce5,5ddd631f063ebd000dbe0687,5.5,7,7,6,7,6.1,6,7,5.666666667,3.5,6.5,6.5,2.5,3.5,25-34,Female,1.5,0,-0.5,4,-0.5,0
63,35-44,Male,136,615d709c083d5961537852c2,615c1805fafd762b0c80b058,4.25,7,5.6,6,7,5.4,5.666666667,7,7,4.666666667,1,2.5,5,2,5,615c1805fafd762b0c80b058,615d709c083d5961537852c2,3,5.2,5.8,6,7,6,5.333333333,2,4.833333333,2.5,5.5,5,4,4,NA,NA,-1.5,-3,0,-2,1,1.25
64,25-34,Female,137,5eab3a9bfec73d10dc9291f7,5c6c84b86ccd1d0001f152cf,4.75,6.8,6.4,5,6.8,5.9,6.333333333,6,6,6.666666667,4.5,3.5,5,4.5,3.5,5ee8e74951a9512209f20ce5,5ddd631f063ebd000dbe0687,5.5,7,7,6,7,6,5.666666667,6,5.833333333,4,6.5,5.5,2.5,3.5,25-34,Female,0.5,-3,-0.5,2,0,-0.75
65,25-34,Male,138,6147a56ede21f199226e8b7a,61239ef50558ffe54f002963,5,7,6.6,4,7,6.5,6,7,6,6.166666667,2,6,6,4,5.5,61239ef50558ffe54f002963,6147a56ede21f199226e8b7a,4.25,6.8,6.4,4,6.8,6.5,6.666666667,7,6.666666667,1.5,6,4.5,4,6.5,35-44,Female,0.5,0,1.5,0,-1,0.75
66,25-34,Female,139,5cef11e2b04fdd0016b177ce,5cf28015fb05610001de261e,5.5,7,7,6,7,6.5,7,7,5,6.333333333,6.5,4,5.5,5.5,4,5cf28015fb05610001de261e,5cef11e2b04fdd0016b177ce,5.5,7,7,6,7,6.5,6.666666667,7,6.333333333,2,6.5,7,7,3,25-34,Male,4.5,-2.5,-1.5,-1.5,1,0
67,45-54,Female,141,5f69c3f4ab3d0d026b25ae23,5f21294e789a0649b25eff23,5.25,6.8,6.8,6,7,6.7,7,7,3,6.166666667,2.5,6,4.5,2,6,5f21294e789a0649b25eff23,5f69c3f4ab3d0d026b25ae23,4.5,5.8,6.2,6,7,5.4,5.666666667,6,5.5,6,4,4.5,5.5,4.5,35-44,Male,-3.5,2,0,-3.5,1.5,0.75
68,25-34,Female,145,5efc9190d8b4ba050a97f67d,5f232870e0d0d00acbc44967,4.5,6.4,5.6,6,7,5.5,7,7,7,5.666666667,2,4.5,6.5,2.5,6.5,5f232870e0d0d00acbc44967,5efc9190d8b4ba050a97f67d,3.25,6.6,4.2,6,6.4,5.6,7,5,5.333333333,4.5,5.5,5.5,3,3.5,25-34,Male,-2.5,-1,1,-0.5,3,1.25
69,18-24,Male,148,5f31233084da6004d4e59bc0,611bfde4df6bf228c6d43797,5.5,7,7,4,7,6.2,6.333333333,7,7,5.666666667,2.5,6.5,4,1.5,7,611bfde4df6bf228c6d43797,5f31233084da6004d4e59bc0,5.25,7,6.8,4,7,5.6,7,7,7,3.5,4.5,3.5,3,6.5,18-24,Female,-1,2,0.5,-1.5,0.5,0.25
70,55-64,Female,149,5c72f9bf8711bf000139c5ee,5d7f598628843a00181eb444,3.25,5.2,6,6,6.2,6,5,5,5,5.5,7,6.5,4,5,4.5,5d7f598628843a00181eb444,5c72f9bf8711bf000139c5ee,4.25,7,6.8,6,7,5.8,5,6,5.666666667,5.5,6,5.5,4,5,55-64,Male,1.5,0.5,-1.5,1,-0.5,-1
71,55-64,Female,155,5f2b290cfa2da353b95121b8,613b04fb42857efe1c632f0d,3,4.8,4.8,6,6.4,5.1,5.666666667,6,3,5.833333333,6,6,4,5,3,613b04fb42857efe1c632f0d,5f2b290cfa2da353b95121b8,5,6.8,6.4,6,5.8,6.7,7,7,6,6,7,7,7,7,55-64,Male,0,-1,-3,-2,-4,-2
72,25-34,Female,157,63d152150ad28a2b24aa507a,62bdc30224534809032cf056,5,6.8,6,6,7,6.2,5.666666667,6,5,5.333333333,4,2,6,1,7,62bdc30224534809032cf056,63d152150ad28a2b24aa507a,5,6.8,6.2,6,7,5.111111111,6.333333333,7,5.5,2,6.5,3.5,4,4.5,25-34,Male,2,-4.5,2.5,-3,2.5,0
73,35-44,Male,158,6105b6a9a504f5250154607d,6105bc993a9e157adee5063c,5.25,7,7,6,7,6,6,6,7,5.333333333,4,4,5,5,4.5,6105bc993a9e157adee5063c,6105b6a9a504f5250154607d,4.75,7,5.4,6,7,6.6,6.333333333,7,4.833333333,3,7,4,5,3.5,35-44,Female,1,-3,1,0,1,0.5
74,35-44,Male,160,61030ea0fd598c32549577b8,5f16b333f4df838489624bc3,4.5,7,6,6,7,5.7,7,6,6,6,3.5,5,5.5,6.5,5,5f16b333f4df838489624bc3,61030ea0fd598c32549577b8,5,6.8,6.8,6,7,6,6.333333333,6,6.166666667,4,3,3.5,2,3,35-44,Female,-0.5,2,2,4.5,2,-0.5
75,35-44,Female,163,5eb6bfd8e38e9f5c8cb64b15,5ea6f6a61ea69108df909829,5.5,6.8,6.8,6,7,5.7,6.333333333,6,7,5.833333333,3,5,4,4,5,5ea6f6a61ea69108df909829,5eb6bfd8e38e9f5c8cb64b15,5.5,7,6.8,6,7,5.5,6,7,6.333333333,2,4,4,5.5,3.5,35-44,Male,1,1,0,-1.5,1.5,0
76,35-44,Male,164,6315fcaec8a4fe59568056bb,56a346dddbe850000cfd3116,2.75,5.4,3.6,5,6,4.8,5.666666667,5,5,4.666666667,5,3.5,3.5,4,4,56a346dddbe850000cfd3116,6315fcaec8a4fe59568056bb,5.25,6.8,7,6,7,5.9,6,5,5.333333333,5.5,5,6,3,4,35-44,Female,-0.5,-1.5,-2.5,1,0,-2.5
77,25-34,Female,167,60fd0c56b996175b00fd45db,61fa913ed42cb19beec49321,4,5.6,5,6,6.4,5.1,5.333333333,5,3,5.666666667,2.5,5,5.5,3.5,4.5,61fa913ed42cb19beec49321,60fd0c56b996175b00fd45db,4.5,6,5.2,6,6.8,6.4,6,6,6,4,6,6,5,3,35-44,Male,-1.5,-1,-0.5,-1.5,1.5,-0.5
78,25-34,Female,168,5a1e6508517dfb00013dd1d1,5a6f51ec46f0230001ce445f,4.25,7,6.6,6,7,5.8,6,5,3,5.666666667,6,6.5,4,3.5,3,5a1e6508517dfb00013dd1d1,5a6f51ec46f0230001ce445f,4.75,6.2,6.2,6,7,5.7,6,5,5.166666667,6.5,6.5,4,3,3,25-34,Female,-0.5,0,0,0.5,0,-0.5
79,35-44,Male,169,5e9fec0f0450b519deaa43a5,5eac47d12b68452804cffeef,4.5,6.8,6.8,6,7,6.3,7,6,6,6.166666667,1,5,6.5,4.5,6.5,5eac47d12b68452804cffeef,5e9fec0f0450b519deaa43a5,4.75,6.6,6.4,6,7,5.6,5,6,4.166666667,2.5,4.5,4.5,2,4.5,45-54,Female,-1.5,0.5,2,2.5,2,-0.25
80,45-54,Male,171,5ea0f529a13fc00f917f602a,5ee531ca5f4c6f0be142ded4,4.75,7,7,6,7,6.3,NA,6,3,7,2,4.5,7,3.5,6.5,5ee531ca5f4c6f0be142ded4,5ea0f529a13fc00f917f602a,4.75,6.4,6.6,6,7,6,7,6,6,3,4.5,7,3,4,35-44,Female,-1,0,0,0.5,2.5,0
81,45-54,Male,174,61497d590e7ac97e0baa1d75,614b8a7c2310c0d3c4d8f418,4.75,7,6.4,6,7,5.7,5.333333333,6,5,5.5,3,5,6,5,5.5,614b8a7c2310c0d3c4d8f418,61497d590e7ac97e0baa1d75,5.25,6.4,7,6,7,6.8,7,5,6.833333333,5.5,2.5,6.5,3.5,3,35-44,Female,-2.5,2.5,-0.5,1.5,2.5,-0.5
82,35-44,Female,175,604ce6075c751bc1e1a11dd5,5847e60f73170700013697c6,5,7,7,6,7,4.3,6,5,5,4,3,3,5,3,5,5847e60f73170700013697c6,604ce6075c751bc1e1a11dd5,2.5,3.8,4.8,6,4.4,4.2,5.333333333,3,5.666666667,1.5,5.5,2.5,6.5,4.5,35-44,Male,1.5,-2.5,2.5,-3.5,0.5,2.5
83,55-64,Male,176,5eb50e5315a3c137f40cbad3,5ea925adf0ff0739ccf94b45,5.25,7,6.2,6,7,6.4,5.333333333,5,6,6,3.5,5,5.5,3,4,5ea925adf0ff0739ccf94b45,5eb50e5315a3c137f40cbad3,5,7,5.6,6,7,6.3,4.333333333,6,5,3.5,4,2.5,5,4,55-64,Female,0,1,3,-2,0,0.25
84,35-44,Female,177,614ae8dbcd4d31f05be56645,6151f20d06757e43aa1f54f9,4.75,7,6.6,6,7,6.6,6,5,6,4.666666667,5.5,4,4,4,5,6151f20d06757e43aa1f54f9,614ae8dbcd4d31f05be56645,4.75,6.2,6.6,6,7,5.9,4.666666667,7,4.166666667,3.5,6.5,4,6,4.5,35-44,Female,2,-2.5,0,-2,0.5,0
85,25-34,Female,179,5f11e7c45f0aa10d57a758ae,5f1072dbfd703f084bb995f7,5.5,7,6.8,6,7,5.9,6,6,7,6,5.5,3.5,4.5,4,3,5f1072dbfd703f084bb995f7,5f11e7c45f0aa10d57a758ae,4.75,7,6.8,6,7,5.7,6,6,6.5,4,4.5,3,5.5,5,25-34,Male,1.5,-1,1.5,-1.5,-2,0.75
86,35-44,Male,1,5fcebf39b1ce991897820e1a,5fcf61cae339e601668c71aa,5,7,7,6,7,6.4,6.666666667,4,4,6.5,2.5,3.5,6.5,3,5,5fcf61cae339e601668c71aa,5fcebf39b1ce991897820e1a,5,7,7,6,7,5.9,6,7,5.166666667,1.5,6,4,2.5,5.5,35-44,Female,1,-2.5,2.5,0.5,-0.5,0
87,35-44,Male,2,610ce644c22d6b8fbd231465,5afd6d5b56fe2c0001690178,3.5,5.8,2.8,6,7,6.1,5.666666667,6,6,4.833333333,2.5,2,6.5,4.5,7,5afd6d5b56fe2c0001690178,610ce644c22d6b8fbd231465,3.5,6.4,5.8,6,7,5.8,6.333333333,6,5.666666667,2.5,4.5,5.5,2.5,6,35-44,Female,0,-2.5,1,2,1,0
88,45-54,Male,3,563f734bcbd4c60005dc9442,5654a29404212700104a1d0e,5.25,6,6.2,6,6.8,5.7,5,6,6,4.833333333,3.5,6,6,6,5.5,5654a29404212700104a1d0e,563f734bcbd4c60005dc9442,5,6.8,6.4,6,5.8,6.8,7,6,6.666666667,4,5.5,6.5,5,7,45-54,Female,-0.5,0.5,-0.5,1,-1.5,0.25
89,25-34,Female,5,5a6759ad35f26b0001496694,5a972432873cda0001dc9321,4.75,6.8,6.8,6,7,6.4,5.333333333,6,5,4.666666667,1.5,5,4.5,5,1.5,5a972432873cda0001dc9321,5a6759ad35f26b0001496694,5,6.8,6.8,6,7,6.2,6,3,6.666666667,6,5.5,5.5,6,2.5,45-54,Male,-4.5,-0.5,-1,-1,-1,-0.25
90,35-44,Male,7,62850a124de32f71f54a8aec,62974bf0b641c08a1f88cfff,4.25,6.8,5.6,6,6.6,5.4,5.666666667,7,4,5.333333333,5.5,4,3.5,2.5,4.5,62974bf0b641c08a1f88cfff,62850a124de32f71f54a8aec,2,5.4,2.6,6,6.6,6.3,7,2,6,2.5,6,5.5,2,5.5,35-44,Female,3,-2,-2,0.5,-1,2.25
91,25-34,Male,10,5eece30932fae00bc0f7fd9e,5eee87f13994e73429924805,5.5,5.8,7,5,7,6.8,6,3,5,5.666666667,7,6,7,4,1,5eee87f13994e73429924805,5eece30932fae00bc0f7fd9e,5.5,6.6,7,5,7,5.8,5,7,3.833333333,4.5,5,3.5,3,4,18-24,Female,2.5,1,3.5,1,-3,0
92,35-44,Female,12,60f154e3b41e8202276ccc73,60f059aff7f931e2d83bacb5,4.75,7,6.6,6,7,5.3,6.666666667,6,6,5.5,3,4,6.5,3,6.5,60f059aff7f931e2d83bacb5,60f154e3b41e8202276ccc73,5.25,7,6.2,6,7,5.9,5,5,5.666666667,4.5,6,6.5,5,3.5,35-44,Female,-1.5,-2,0,-2,3,-0.5
93,25-34,Male,13,614eb81994acf7258a6a85af,6303a689280da7dc4b033534,5.5,7,7,5,7,6.3,7,6,5,5.833333333,3.5,6.5,6.5,4,3,6303a689280da7dc4b033534,614eb81994acf7258a6a85af,5.5,7,7,5,7,6.4,6.666666667,7,6.333333333,4,6.5,6.5,5.5,4.5,25-34,Male,-0.5,0,0,-1.5,-1.5,0
95,35-44,Male,15,5afc14a00b2d5f00015693b4,5e1de1181dcc4c144a683022,3.75,4.6,5.4,6,5,6,7,6,6,6.333333333,4,3,6.5,5,6.5,5e1de1181dcc4c144a683022,5afc14a00b2d5f00015693b4,3.25,5.6,6.4,6,7,4.9,5.666666667,6,6,1.5,1.5,3.5,2,3.5,35-44,Female,2.5,1.5,3,3,3,0.5
96,45-54,Male,16,5eea1be10e95520beb9fa654,You have it already,5.5,7,7,5,7,6.1,6,7,7,6.833333333,5,6,6,5,5,5eea2d0870d5130538aa170a,5eea1be10e95520beb9fa654,5.25,7,6.8,5,7,7,6.666666667,7,7,4.5,7,5.5,4,4,25-34,Female,0.5,-1,0.5,1,1,0.25
98,25-34,Male,19,5b8bfff214e8c60001052fbd,59400f1c6b84600001e76c13,4.25,6,6,6,6,6,6,6,6,6,4,5.5,6,6,4.5,59400f1c6b84600001e76c13,5b8bfff214e8c60001052fbd,3.75,6,6,6,6,6,6,6,5.833333333,4.5,5,6,6,4.5,25-34,Female,-0.5,0.5,0,0,0,0.5
99,45-54,Female,20,60400327a152361b2838dcc3,60f984adfea10999e9a39727,4.25,6.2,6.2,6,7,6,6,6,6,5.5,4.5,4,6,3,5,60f984adfea10999e9a39727,60400327a152361b2838dcc3,4.5,6.6,6.2,6,7,6.4,7,7,5.5,5,6.5,7,6.5,4,45-54,Male,-0.5,-2.5,-1,-3.5,1,-0.25
100,25-34,Female,21,60e339541a2d88d9f3a0be86,5c65a566755ed200011bf534,3.5,7,6,6,7,4.5,5,6,6,5,6,6,6.5,4,5.5,5c65a566755ed200011bf534,60e339541a2d88d9f3a0be86,4,6.2,6,6,6,4.9,6,5,5.333333333,3,6,5.5,6,4,25-34,Male,3,0,1,-2,1.5,-0.5
101,45-54,Female,22,5fcc07625049472607490069,5fc74b5900f0a5079e03dbae,5.5,7,6.8,6,7,6.9,6,7,5,5.333333333,1,7,5,4,1.5,5fc74b5900f0a5079e03dbae,5fcc07625049472607490069,5.25,7,6.6,6,7,5.8,7,7,6.5,4,5,6.5,6,5,45-54,Male,-3,2,-1.5,-2,-3.5,0.25
